Title,DOI,License,Access Right,Upload Type,Publication Date,Created,Modified,Zenodo Link
What is polymer cross linking?,10.5281/zenodo.12438251,cc-by-4.0,open,presentation,2024-06-23,2024-06-23T00:09:13.829241+00:00,2024-06-23T00:09:14.143431+00:00,https://zenodo.org/record/12438251
,10.5281/zenodo.12002578,cc-by-4.0,restricted,,2024-06-17,2024-06-17T19:54:25.673480+00:00,2024-06-17T19:54:31.965173+00:00,https://zenodo.org/record/12002578
"P-based compounds scraped from Ptable (M. Dayah, 1997).",10.5281/zenodo.11999609,cc-by-4.0,restricted,dataset,2024-06-17,2024-06-17T19:50:20.503996+00:00,2025-01-21T19:59:08.644077+00:00,https://zenodo.org/record/11999609
Enacting Decolonized Methodologies: The Doing of Research in Educational Communities,10.1177/1077800411426414,cc-by-4.0,open,publication,2011-12-16,2024-06-07T14:43:42.864029+00:00,2024-06-07T14:43:43.140007+00:00,https://zenodo.org/record/11520026
Tang et al study of LIG batch-to-batch variation (cyclic voltammetry data),10.5281/zenodo.11244996,cc-by-4.0,open,dataset,2024-05-22,2024-05-22T16:42:24.962884+00:00,2024-05-22T16:42:25.299953+00:00,https://zenodo.org/record/11244996
Supplemental Drawings for Cross Linking Workshop/Camp,10.5281/zenodo.11218436,cc-by-4.0,open,image,2024-05-20,2024-05-20T03:45:20.656405+00:00,2024-05-20T03:45:20.863240+00:00,https://zenodo.org/record/11218436
Electrochemistry Boot Camp CV Data,10.5281/zenodo.11179882,cc-by-4.0,open,dataset,2024-05-11,2024-05-11T20:42:36.290913+00:00,2024-05-11T20:42:36.521514+00:00,https://zenodo.org/record/11179882
P SENSEE unfiltered literature review results,10.5281/zenodo.10942677,cc-by-4.0,open,dataset,2024-04-08,2024-04-08T12:53:30.791274+00:00,2024-04-08T12:53:30.988275+00:00,https://zenodo.org/record/10942677
P SENSEE unfiltered literature review results,10.5281/zenodo.10942677,cc-by-4.0,open,dataset,2024-04-08,2024-04-08T12:49:37.595682+00:00,2024-04-08T12:53:31.005870+00:00,https://zenodo.org/record/10942677
Phosphate Sensor Search Engine (P-SENSEE) Snapshot,10.5281/zenodo.10939162,cc-by-4.0,open,dataset,2024-04-08,2024-04-08T01:01:29.008217+00:00,2024-04-08T01:01:29.195787+00:00,https://zenodo.org/record/10939162
Phosphate Sensor Search Engine (P-SENSEE) Snapshot,10.5281/zenodo.10939162,cc-by-4.0,open,dataset,2024-04-08,2024-04-08T00:50:34.456613+00:00,2024-04-08T01:01:29.205977+00:00,https://zenodo.org/record/10939162
Cyclic Voltammetry: Nanoplatinum-coated LIG electrodes (Qian et al QC study),10.5281/zenodo.10719924,cc-by-4.0,open,dataset,2024-02-28,2024-04-08T00:44:29.966011+00:00,2024-04-09T13:09:33.316284+00:00,https://zenodo.org/record/10719924
SENSEE Data Glossary_v1,10.5281/zenodo.10939149,cc-by-4.0,open,dataset,2024-04-08,2024-04-08T00:44:02.183496+00:00,2024-04-08T01:03:34.419084+00:00,https://zenodo.org/record/10939149
Data Management Plan,10.5281/zenodo.10689562,cc-by-4.0,open,publication,2024-02-21,2024-02-28T18:04:06.096050+00:00,2024-02-28T18:04:06.211873+00:00,https://zenodo.org/record/10689562
Nanoplatinum-decorated LIG electrodes for QC study (Qian et al),10.5281/zenodo.10719913,cc-by-4.0,restricted,dataset,2024-02-28,2024-02-28T01:02:17.855920+00:00,2024-02-28T01:09:03.778474+00:00,https://zenodo.org/record/10719913
Collection of our papers from 2009-present (McLamore/Vanegas),10.5281/zenodo.10694660,cc-by-4.0,open,publication,2024-02-22,2024-02-22T19:12:22.590516+00:00,2024-08-28T09:54:03.304319+00:00,https://zenodo.org/record/10694660
Flexible Laser-Induced Graphene for Nitrogen Sensing in Soil,10.1021/acsami.8b10991,cc-by-4.0,open,publication,2024-02-21,2024-02-21T17:59:56.539002+00:00,2024-07-07T04:22:04.874598+00:00,https://zenodo.org/record/10689001
E. coli aptasensr data_Qian et al (2023),10.5281/zenodo.10581570,cc-by-4.0,open,dataset,2023-09-10,2024-02-21T17:49:33.227136+00:00,2024-02-21T17:49:33.368805+00:00,https://zenodo.org/record/10581570
Interpreting Irrigation Water Quality Reports,,cc-by-4.0,open,publication,2024-02-21,2024-02-21T17:40:43.467727+00:00,2024-02-21T17:47:43.186501+00:00,https://zenodo.org/record/10688981
,,cc-by-4.0,open,,2024-02-21,2024-02-21T17:40:37.184737+00:00,2024-02-21T17:40:37.270889+00:00,https://zenodo.org/record/10688979
Bare LIG_Universal VLS2.30DT_Clemson University,10.5281/zenodo.10257485,cc-by-4.0,open,dataset,2023-12-04,2024-02-18T22:20:09.361478+00:00,2024-02-18T22:20:11.796849+00:00,https://zenodo.org/record/10257485
Laser Scribed Graphene Biosensor for Detection of Biogenic Amines in Food Samples Using Locally Sourced Materials,10.3390/bios8020042,cc-by-4.0,open,publication,2018-04-24,2023-10-27T16:35:39.369032+00:00,2024-07-11T00:49:31.719578+00:00,https://zenodo.org/record/10048180
"FEAST of biosensors: Food, environmental and agricultural sensing technologies (FEAST) in North America",10.1016/j.bios.2021.113011,,open,publication,2021-01-16,2022-07-13T00:20:08.997245+00:00,2024-07-16T10:06:48.641503+00:00,https://zenodo.org/record/6824669
